@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-Rfirst-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B11-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B30-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B30-M-1.0-Rlast

@attribute hour {'\'(-inf-2.5]\'','\'(2.5-5.5]\'','\'(5.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-17.5]\'','\'(17.5-20.5]\'','\'(20.5-inf)\''}
@attribute amps_avg {'\'(-inf-0.1281]\'','\'(0.1281-0.209533]\'','\'(0.209533-0.290967]\'','\'(0.290967-0.3724]\'','\'(0.3724-inf)\''}
@attribute kw_avg numeric

@data
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',42.665
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.908333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.491667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.54
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.198333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.076667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.64
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',29.248333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.15
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.565
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.101667
