@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
0,0.155167,35.688333
0,0.1855,42.665
0,0.172667,39.713333
0,0.169167,38.908333
0,0.110833,25.491667
0,0.098,22.54
0,0.092167,21.198333
0,0.100333,23.076667
0,0.112,25.76
0,0.133,30.59
0,0.168,38.64
0,0.155167,35.688333
0,0.127167,29.248333
0,0.105,24.15
0,0.1155,26.565
0,0.117833,27.101667
0,0.117833,27.101667
0,0.158667,36.493333
0,0.138833,31.931667
0,0.1365,31.395
0,0.1505,34.615
0,0.152833,35.151667
0,0.141167,32.468333
0,0.102667,23.613333
0,0.091,20.93
0,0.110833,25.491667
0,0.126,28.98
0,0.147,33.81
0,0.158667,36.493333
0,0.1575,36.225
0,0.130667,30.053333
0,0.127167,29.248333
0,0.117833,27.101667
0,0.102667,23.613333
0,0.138833,31.931667
0,0.137667,31.663333
0,0.155167,35.688333
0,0.1575,36.225
0,0.173833,39.981667
0,0.1015,23.345
0,0.099167,22.808333
0,0.114333,26.296667
0,0.1155,26.565
0,0.135333,31.126667
0,0.147,33.81
0,0.141167,32.468333
0,0.128333,29.516667
0,0.124833,28.711667
0,0.1155,26.565
0,0.124833,28.711667
0,0.117833,27.101667
0,0.156333,35.956667
0,0.189,43.47
0,0.154,35.42
0,0.117833,27.101667
0,0.1365,31.395
0,0.1435,33.005
0,0.135333,31.126667
0,0.133,30.59
0,0.123667,28.443333
1,0.117833,27.101667
1,0.114333,26.296667
1,0.120167,27.638333
1,0.135333,31.126667
1,0.113167,26.028333
1,0.109667,25.223333
1,0.141167,32.468333
1,0.142333,32.736667
1,0.142333,32.736667
1,0.170333,39.176667
1,0.161,37.03
1,0.161,37.03
1,0.166833,38.371667
1,0.131833,30.321667
1,0.103833,23.881667
1,0.1155,26.565
1,0.124833,28.711667
1,0.158667,36.493333
1,0.173833,39.981667
1,0.163333,37.566667
1,0.138833,31.931667
1,0.166833,38.371667
1,0.133,30.59
1,0.14,32.2
1,0.135333,31.126667
1,0.137667,31.663333
1,0.1505,34.615
1,0.154,35.42
1,0.161,37.03
1,0.1365,31.395
1,0.131833,30.321667
1,0.102667,23.613333
1,0.102667,23.613333
1,0.114333,26.296667
1,0.106167,24.418333
1,0.144667,33.273333
1,0.168,38.64
1,0.1855,42.665
1,0.168,38.64
1,0.114333,26.296667
1,0.121333,27.906667
1,0.102667,23.613333
1,0.116667,26.833333
1,0.144667,33.273333
1,0.173833,39.981667
1,0.173833,39.981667
1,0.147,33.81
1,0.092167,21.198333
1,0.060667,13.953333
1,0.07,16.1
1,0.100333,23.076667
1,0.165667,38.103333
1,0.197167,45.348333
1,0.175,40.25
1,0.1575,36.225
1,0.163333,37.566667
1,0.113167,26.028333
1,0.128333,29.516667
1,0.134167,30.858333
1,0.1225,28.175
2,0.149333,34.346667
2,0.1505,34.615
2,0.131833,30.321667
2,0.135333,31.126667
2,0.113167,26.028333
2,0.126,28.98
2,0.105,24.15
2,0.096833,22.271667
2,0.092167,21.198333
2,0.119,27.37
2,0.147,33.81
2,0.175,40.25
2,0.165667,38.103333
2,0.141167,32.468333
2,0.128333,29.516667
2,0.0945,21.735
2,0.082833,19.051667
2,0.123667,28.443333
2,0.123667,28.443333
2,0.137667,31.663333
2,0.133,30.59
2,0.114333,26.296667
2,0.126,28.98
