hour;minute;amps_avg;kw_avg
0;0;0.155167;35.688333
0;1;0.1855;42.665
0;2;0.172667;39.713333
0;3;0.169167;38.908333
0;4;0.110833;25.491667
0;5;0.098;22.54
0;6;0.092167;21.198333
0;7;0.100333;23.076667
0;8;0.112;25.76
0;9;0.133;30.59
0;10;0.168;38.64
0;11;0.155167;35.688333
0;12;0.127167;29.248333
0;13;0.105;24.15
0;14;0.1155;26.565
0;15;0.117833;27.101667
0;16;0.117833;27.101667
0;17;0.158667;36.493333
0;18;0.138833;31.931667
0;19;0.1365;31.395
0;20;0.1505;34.615
0;21;0.152833;35.151667
0;22;0.141167;32.468333
0;23;0.102667;23.613333
0;24;0.091;20.93
0;25;0.110833;25.491667
0;26;0.126;28.98
0;27;0.147;33.81
0;28;0.158667;36.493333
0;29;0.1575;36.225
0;30;0.130667;30.053333
0;31;0.127167;29.248333
0;32;0.117833;27.101667
0;33;0.102667;23.613333
0;34;0.138833;31.931667
0;35;0.137667;31.663333
0;36;0.155167;35.688333
0;37;0.1575;36.225
0;38;0.173833;39.981667
0;39;0.1015;23.345
0;40;0.099167;22.808333
0;41;0.114333;26.296667
0;42;0.1155;26.565
0;43;0.135333;31.126667
0;44;0.147;33.81
0;45;0.141167;32.468333
0;46;0.128333;29.516667
0;47;0.124833;28.711667
0;48;0.1155;26.565
0;49;0.124833;28.711667
0;50;0.117833;27.101667
0;51;0.156333;35.956667
0;52;0.189;43.47
0;53;0.154;35.42
0;54;0.117833;27.101667
0;55;0.1365;31.395
0;56;0.1435;33.005
0;57;0.135333;31.126667
0;58;0.133;30.59
0;59;0.123667;28.443333
1;0;0.117833;27.101667
1;1;0.114333;26.296667
1;2;0.120167;27.638333
1;3;0.135333;31.126667
1;4;0.113167;26.028333
1;5;0.109667;25.223333
1;6;0.141167;32.468333
1;7;0.142333;32.736667
1;8;0.142333;32.736667
1;9;0.170333;39.176667
1;10;0.161;37.03
1;11;0.161;37.03
1;12;0.166833;38.371667
1;13;0.131833;30.321667
1;14;0.103833;23.881667
1;15;0.1155;26.565
1;16;0.124833;28.711667
1;17;0.158667;36.493333
1;18;0.173833;39.981667
1;19;0.163333;37.566667
1;20;0.138833;31.931667
1;21;0.166833;38.371667
1;22;0.133;30.59
1;23;0.14;32.2
1;24;0.135333;31.126667
1;25;0.137667;31.663333
1;26;0.1505;34.615
1;27;0.154;35.42
1;28;0.161;37.03
1;29;0.1365;31.395
1;30;0.131833;30.321667
1;31;0.102667;23.613333
1;32;0.102667;23.613333
1;33;0.114333;26.296667
1;34;0.106167;24.418333
1;35;0.144667;33.273333
1;36;0.168;38.64
1;37;0.1855;42.665
1;38;0.168;38.64
1;39;0.114333;26.296667
1;40;0.121333;27.906667
1;41;0.102667;23.613333
1;42;0.116667;26.833333
1;43;0.144667;33.273333
1;44;0.173833;39.981667
1;45;0.173833;39.981667
1;46;0.147;33.81
1;47;0.092167;21.198333
1;48;0.060667;13.953333
1;49;0.07;16.1
1;50;0.100333;23.076667
1;51;0.165667;38.103333
1;52;0.197167;45.348333
1;53;0.175;40.25
1;54;0.1575;36.225
1;55;0.163333;37.566667
1;56;0.113167;26.028333
1;57;0.128333;29.516667
1;58;0.134167;30.858333
1;59;0.1225;28.175
2;0;0.149333;34.346667
2;1;0.1505;34.615
2;2;0.131833;30.321667
2;3;0.135333;31.126667
2;4;0.113167;26.028333
2;5;0.126;28.98
2;6;0.105;24.15
2;7;0.096833;22.271667
2;8;0.092167;21.198333
